title,title_id,year,thumbnail,topic,file,author,level,alttext
"Introducción a la teoría de números","Introduccion a la teoria de numeros",2011,Logo-acm.png,Teoría de Números,Introducción-a-la-teoría-de-números.pdf,"Carmela Acevedo, Laura Vielma",Básico - Intermedio,"¿Teoría?, ¿o sea que no son reales?"
"Introducción al Álgebra","Introduccion al Algebra",2020,Logo-ommgto.png,Álgebra,Introducción-al-Álgebra.pdf,"Rubén Pérez Palacios",Intermedio,"Letras entre los números, ¿cómo?"
"Introducción al conteo 2da parte","Introduccion al conteo 2da parte",2020,Logo-ommags.png,Combinatoria,Introducción-al-conteo-2da-parte.pdf,"Juan Carlos Martín Coronado",Básico,"Es hora de recordar lo que me contaste."
"Introducción al conteo","Introduccion al conteo",2020,Logo-ommags.png,Combinatoria,Introducción-al-conteo.pdf,"Juan Carlos Martín Coronado",Básico,"¿A poco sí sabes contar?"
"Invariantes","Invariantes",2013,Logo-omslp.png,Métodos de ataque de problemas,Invariantes.pdf,"Desconocido",Básico - Intermedio,"¿Qué es lo que no cambia?"
"Invarianza (Coloración)","Invarianza (Coloracion)",2020,Logo-ommgto.png,Métodos de ataque de problemas,Invarianza-(Coloración).pdf,"Sebastian Sánchez Lara",Intermedio,"Colores que no cambian, cambia entonces de color."
"Invarianza","Invarianza",2022,Logo.png,Métodos de ataque de problemas,Invarianza.pdf,"Emilio Toscano Oneto",Intermedio,"¿Qué es lo que no cambia?"
"Inversión","Inversion",2019,Logo-ommgto.png,Geometría,Inversión.pdf,"Israel Bonal Rodríguez",Muy avanzado,"Voy, vuelvo y regreso."
"Isometrías y semejanzas en el plano","Isometrias y semejanzas en el plano",2017,Logo-acm.png,Geometría,Isometrías-y-semejanzas-en-el-plano.pdf,"José H. Nieto",Avanzado,"Mover, rotar, reflejar."
"Juegos de estrategia","Juegos de estrategia",2011,Logo-acm.png,Combinatoria,Juegos-de-estrategia.pdf,"José H. Nieto",Avanzado,"Mucho entrenar. Entrenemos juegos."
"Líneas de Simson y Euler y circunferencias de los nueve puntos","Lineas de Simson y Euler y circunferencias de los nueve puntos",2020,Logo-ommgto.png,Geometría,Líneas-de-Simson-y-Euler-y-circunferencia-de-los-nueve-puntos.pdf,"Israel Bonal Rodríguez",Avanzado,"Una serie puntos interesantes."
"MCD y MCM","MCD y MCM",2020,Logo-ommags.png,Teoría de Números,MCD-y-MCM-1.pdf,"Ana del Socorro Viramontes Medina y Daniela Maribel Trancoso Cervantes",Intermedio,"¿Máximo Decimo Meridio?"
"Manipulaciones algebraicas","Manipulaciones algebraicas",2020,Logo-ommags.png,Álgebra,Manipulaciones-algebraicas.pdf,"Ricardo Antonio Gutiérrez Esparza",Intermedio,"Hay que saber jugar, expresivamente, con expresiones."
"Máximo común divisor y mínimo común múltiplo (Diapositivas)","Maximo comun divisor y minimo comun multiplo (Diapositivas)",2022,Logo-ommgto.png,Teoría de Números,MCD-y-MCM-(Diapositivas).pdf,"Jesús Liceaga",Intermedio,"MC ¿qué?"
"Máximo común divisor y mínimo común múltiplo","Maximo comun divisor y minimo comun multiplo",2022,Logo.png,Teoría de Números,MCD-y-MCM.pdf,"Emilio Toscano Oneto",Intermedio,"MC ¿qué?"
"Máximo común divisor","Maximo comun divisor",2021,Logo-ommgto.png,Teoría de Números,Máximo-común-divisor.pdf,"Jesús Liceaga",Intermedio,"El mayor divisor es interesante, el menor siempre es uno."
"Módulos","Modulos",2020,Logo-ommags.png,Teoría de Números,Módulos.pdf,"Juan Carlos Martín Coronado",Intermedio,"Congruencias, pero con números."
"Nociones básicas de Geometría","Nociones basicas de Geometria",2017,Logo-ommags.png,Geometría,Nociones-básicas-de-Geometría.pdf,"Gustavo Meza García",Básico,"Mate también es hacer figuritas."
"Números primos","Numeros primos",2017,Logo-ommags.png,Teoría de Números,Números-primos-1.pdf,"Gustavo Meza García",Básico,"¿Primo de quién?"
"Números primos (Diapositivas)","Numeros primos (Diapositivas)",2022,Logo-ommgto.png,Teoría de Números,Números-primos-(Diapositivas).pdf,"Jesús Liceaga",Básico,"¿Primo de quién?"
"Números primos y divisibilidad","Numeros primos y divisibilidad",2022,Logo.png,Teoría de Números,Números-primos-y-divisibilidad.pdf,"Joshua S. González Torres",Básico,"¿Primo de quién?"
"Números primos","Numeros primos",2020,Logo-ommags.png,Teoría de Números,Números-primos.pdf,"Daniela Maribel Trancoso Cervantes",Básico,"Sí, todos son primos (ni idea de quién)."
"Órdenes","Ordenes",2022,Logo-ommgto.png,Teoría de Números,Órdenes.pdf,"Jesús Liceaga",Intermedio,"Pon un orden; digo, sabemos que existe."
"Paridad","Paridad",2019,Logo-ommags.png,Métodos de ataque de problemas,Paridad.pdf,"Desconocido",Básico - Intermedio,"Sí, el 0 es par."
"Particiones","Particiones",2018,Logo-ommgto.png,Combinatoria,Particiones.pdf,"Alfredo Arturo Elías Miranda",Avanzado - Muy avanzado,"Parte y reparte."
